Vreme,Temperatura,Pritisak,Zvuk,Svetlost,Pritisak,Vlažnost,Komentar
s,°C,kPa,dBA,lx,kPa,%RH,

55.68,13.0,99.5,79.0,646,100.45,33.2,
56.16,13.0,99.5,62.5,648,100.45,33.2,
56.64,13.0,99.5,40.0,648,100.45,33.1,
57.12,12.9,99.5,42.3,647,100.49,33.1,
57.6,12.9,99.5,68.7,646,100.45,33.1,
58.08,12.9,99.5,65.4,645,100.46,33.1,
58.56,12.9,99.5,58.6,645,100.44,33.1,
59.04,12.9,99.5,65.9,648,100.47,33.1,
59.52,12.9,99.5,54.1,649,100.46,33.1,
60,12.9,99.5,50.1,650,100.47,33.1,
60.48,12.9,99.5,70.8,651,100.45,33.1,
60.96,12.8,99.5,56.9,651,100.47,33.1,
61.44,12.8,99.5,50.9,652,100.48,33.1,
61.92,12.8,99.5,40.0,652,100.50,33.1,
62.4,12.8,99.5,52.9,652,100.49,33.1,
62.88,12.8,99.5,77.3,652,100.47,33.1,
63.36,12.8,99.5,59.7,652,100.47,33.1,
63.84,12.8,99.5,71.3,652,100.45,33.2,
64.32,12.8,99.5,72.6,652,100.45,33.2,
64.8,12.8,99.5,67.7,652,100.45,33.2,
65.28,12.8,99.5,46.3,649,100.45,33.2,
65.76,12.7,99.5,48.7,640,100.46,33.2,
66.24,12.7,99.5,50.9,648,100.43,33.2,
66.72,12.7,99.5,67.0,652,100.46,33.2,
67.2,12.7,99.5,73.1,654,100.44,33.2,
67.68,12.7,99.5,53.3,654,100.47,33.2,
68.16,12.7,99.5,70.1,655,100.47,33.1,
68.64,12.7,99.5,67.8,655,100.46,33.1,
69.12,12.7,99.5,66.2,655,100.47,33.1,
69.6,12.7,99.5,40.0,655,100.48,33.1,
70.08,12.7,99.5,70.3,656,100.47,33.1,
70.56,12.7,99.5,73.8,656,100.46,33.1,
71.04,12.6,99.5,57.9,656,100.44,33.1,
71.52,12.6,99.5,40.0,657,100.42,33.1,
72,12.6,99.5,63.5,657,100.47,33.1,
72.48,12.6,99.5,66.0,657,100.45,33.1,
72.96,12.6,99.5,49.0,657,100.43,33.1,
73.44,12.6,99.5,72.0,658,100.46,33.1,
73.92,12.6,99.5,43.8,658,100.46,33.1,
74.4,12.6,99.5,56.0,658,100.47,33.1,
74.88,12.6,99.5,66.7,658,100.44,33.1,
75.36,12.6,99.5,56.9,659,100.44,33.1,
75.84,12.6,99.5,72.7,659,100.43,33.1,
76.32,12.6,99.5,61.4,660,100.44,33.1,
76.8,12.6,99.5,59.9,660,100.41,33.1,
77.28,12.6,99.5,51.0,660,100.47,33.1,
77.76,12.5,99.5,64.7,660,100.43,33.1,
78.24,12.5,99.5,40.0,660,100.44,33.1,
78.72,12.5,99.5,79.4,660,100.45,33.1,
79.2,12.5,99.5,59.5,661,100.44,33.1,
79.68,12.5,99.5,45.8,661,100.44,33.1,
80.16,12.5,99.5,40.5,661,100.43,33.1,
80.64,12.5,99.5,40.0,662,100.45,33.1,
81.12,12.5,99.5,70.2,662,100.46,33.1,
81.6,12.5,99.5,62.6,662,100.44,33.1,
82.08,12.5,99.5,68.8,663,100.45,33.1,
82.56,12.5,99.5,71.6,663,100.46,33.1,
83.04,12.5,99.5,66.0,663,100.45,33.1,
83.52,12.5,99.5,48.3,664,100.45,33.1,
84,12.5,99.5,60.5,664,100.49,33.0,
84.48,12.5,99.5,77.8,664,100.46,33.0,
84.96,12.5,99.5,70.9,665,100.47,33.0,
85.44,12.4,99.5,58.1,667,100.46,33.0,
85.92,12.4,99.5,77.2,659,100.47,33.0,
86.4,12.4,99.5,73.6,562,100.47,33.0,
86.88,12.4,99.5,70.0,564,100.46,33.0,
87.36,12.4,99.5,57.1,497,100.48,33.0,
87.84,12.4,99.5,62.9,524,100.46,33.0,
88.32,12.4,99.5,43.7,615,100.46,33.0,
88.8,12.4,99.5,40.0,649,100.47,32.9,
89.28,12.4,99.5,62.8,663,100.47,32.9,
89.76,12.4,99.5,44.3,670,100.46,32.9,
90.24,12.4,99.5,40.0,672,100.47,32.9,
90.72,12.4,99.5,40.0,673,100.45,32.9,
91.2,12.4,99.5,40.0,674,100.44,32.9,
91.68,12.4,99.5,40.0,676,100.44,32.9,
92.16,12.4,99.5,40.0,676,100.48,32.9,
92.64,12.4,99.5,40.0,677,100.47,32.9,
93.12,12.4,99.5,40.0,678,100.45,32.9,
93.6,12.4,99.5,40.0,678,100.47,32.9,
94.08,12.4,99.5,40.0,679,100.47,32.9,
94.56,12.4,99.5,60.1,679,100.45,32.9,
95.04,12.4,99.5,67.2,679,100.46,32.9,
95.52,12.4,99.5,54.9,680,100.45,32.9,
96,12.4,99.5,52.1,680,100.45,32.9,
96.48,12.4,99.5,46.6,681,100.46,32.9,
96.96,12.4,99.5,40.0,681,100.48,32.9,
97.44,12.3,99.5,58.7,681,100.46,32.9,
97.92,12.3,99.5,69.3,681,100.43,32.8,
98.4,12.3,99.5,50.7,681,100.43,32.8,
98.88,12.3,99.5,41.4,681,100.49,32.8,
99.36,12.3,99.5,47.0,681,100.46,32.8,
99.84,12.3,99.5,45.5,681,100.45,32.8,
100.32,12.3,99.5,40.2,681,100.43,32.8,
100.8,12.3,99.5,67.1,680,100.43,32.8,
